run_id,backend,iteration,cuda_ms,wall_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T182249_bf16_eager,bf16_eager,312,60.090466,60.118568,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,313,60.342274,60.368503,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,314,60.102657,60.134317,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,315,60.101631,60.127754,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,316,61.306881,61.333493,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,317,60.371967,60.399341,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,318,60.116993,60.143604,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,319,60.018688,60.04488,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,320,60.603394,60.62929,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,321,60.225536,60.255112,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,322,60.176384,60.202775,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,323,60.166145,60.193226,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,324,60.231583,60.257326,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,325,60.81741,60.846034,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,326,60.19379,60.221189,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,327,60.258305,60.285108,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,328,60.262402,60.289316,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,329,60.297215,60.322918,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,330,60.233727,60.259771,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,331,60.048351,60.074085,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,332,60.379135,60.410352,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,333,60.32589,60.352895,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,334,60.181503,60.21049,4014.374,4256.0
