run_id,backend,denoising_steps,iteration,policy_cuda_ms,policy_wall_ms,denoiser_total_ms,per_step_mean_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T183102_bf16_eager,bf16_eager,1,121,213.55542,213.64005,61.02221,61.02221,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,122,197.87091,197.95104,60.56141,60.56141,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,123,199.53984,199.63648,60.73037,60.73037,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,124,198.75008,198.8378,61.00672,61.00672,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,125,198.97046,199.05246,60.93312,60.93312,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,126,222.38841,222.50692,60.57069,60.57069,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,127,217.63385,217.71389,60.48666,60.48666,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,128,199.75661,199.83424,60.28391,60.28391,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,129,201.54765,201.62741,60.28083,60.28083,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,130,200.1888,200.26802,60.43853,60.43853,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,131,205.38733,205.62537,62.4711,62.4711,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,132,203.82602,203.90301,61.70317,61.70317,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,133,218.0432,218.13259,61.20243,61.20243,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,134,201.31342,201.39085,60.0064,60.0064,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,135,206.46223,206.53965,59.94086,59.94086,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,136,199.47879,199.55517,60.06989,60.06989,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,137,198.92633,199.00191,59.94288,59.94288,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,138,200.54109,200.61847,60.04326,60.04326,4013.604,5294.0
